,DIS,chatgpt_sentiment
2022-10-18 16:54:00,A CEF Earning Its Distribution: ETO,Neutral
2022-10-18 21:07:00,Netflix CEO says ‘thank God we’re done with shrinking quarters’ after first growth of 2022 sends stock soaring,Positive
2022-10-18 22:02:00,Netflix will crack down on password sharing next year — here’s how it will work,Neutral
2022-10-19 00:28:00,"Netflix reverses subscriber slump, shares surge 14%",Positive
2022-10-19 10:27:00,Netflix: Still A Growth Company,Positive
2022-10-19 10:30:00,Nasdaq futures bolstered by Netflix's subscriber turnaround,Positive
2022-10-19 12:15:00,Wall Street Breakfast: Crude Price Action,Neutral
2022-10-19 12:22:00,Disney: Netflix Earnings Show Promise For Disney+,Positive
2022-10-19 13:09:00,Disney stock jumps to lead the Dow's gainers in wake of Netflix rally,Positive
2022-10-19 15:57:00,Warner Bros. Discovery: After The Bloodbath Accounting - All Eyes On Q3,Neutral
2022-10-19 19:13:00,A Real Business! Netflix Grows Up,Positive
2022-10-19 21:49:00,Communications Services Outpace Market After Netflix Earnings -- Communications Services Roundup,Neutral
2022-10-20 04:30:00,Netflix Has Opportunities During These Difficult Times,Positive
2022-10-20 11:20:00,Multiple Catalysts For Broader Recognition Of Nintendo's Intellectual Property Wealth,Neutral
2022-10-21 16:34:14,Disney launches web3 experience to celebrate 100 years of Disney music,Positive
2022-10-22 00:32:56,DC's 'Black Adam' pursues movies' biggest opening in months,Positive
2022-10-22 21:56:47,ESPN and F1 announce new US broadcast deal through 2025,Neutral
2022-10-23 04:05:55,"With a rate of $1,733 per night, this Orlando resort is the most expensive U.S. luxury hotel",Neutral
2022-10-23 18:22:09,"Broadcast gets a sports bump, but streaming still holds TV usage crown",Neutral
2022-10-24 19:04:01,"ESPN, Formula One set broadcasts through 2025",Neutral
2022-10-24 19:48:30,Apple Music and Apple TV+ prices are going up. Here’s how much you’ll soon pay for streaming.,Negative
2022-10-24 21:10:13,October surprise? Stocks continue to sizzle this month,Positive
2022-10-25 17:30:49,"Walmart, Disney among top 12 employers that laid off thousands during the pandemic, House inquiry finds",Negative
2022-10-25 17:56:45,Disney+ becomes the international home for new seasons of ‘Doctor Who’,Positive
2022-10-25 19:04:58,"Apple TV+ price increase is another sign company is ‘building the next HBO,’ says analyst",Neutral
2022-10-25 19:21:54,Fall Is the New Summer for Vacations,Neutral
2022-10-25 20:04:38,"Streaming Is Slimming, Paramount Is Swimming: What Recent Media Downgrades Are Missing",Neutral
2022-10-25 23:23:20,"James Gunn, Peter Safran named new heads of Warner Bros.' DC studios",Neutral
2022-10-26 09:20:28,Temasek Investment Firm Injects S$150 Million in Entertainment Provider Cityneon,Positive
2022-10-26 22:29:03,"KeyBanc dims view of media stocks, with ads and economy feeding downturn",Negative
2022-10-26 23:52:36,Disney CEO Bob Chapek Wants to Customize Fan Experiences,Neutral
2022-10-27 00:50:14,Disney wants to use your viewing history to personalize your park experience,Neutral
2022-10-27 22:25:58,Market Revokes Zuckerberg Tech-Genius Title: Fixing Meta Not Rocket Science,Negative
2022-10-27 22:48:40,Is Apple A Buy After FQ4 2022 Earnings? Keep Your Eyes On Services,Neutral
2022-10-29 01:16:27,'Black Adam' likely to hold serve at box office over 'Prey for the Devil',Neutral
2022-10-29 11:21:36,The Happy Meal inventor says McDonald’s didn’t want it at first,Neutral
2022-10-31 17:54:51,Dow on track for best month in more than 45 years,Positive
2022-10-31 22:07:02,Ralph Lauren to Launch Fortnite Fashion Line With First Polo Logo Mashup,Positive
2022-11-01 00:43:09,Shanghai Disneyland Locked Visitors in Park on Covid Case,Negative
2022-11-01 01:25:06,U.S. judge says Penguin Random House book merger cannot go forward,Neutral
2022-11-01 10:03:43,Shanghai Disney guests kept in closed park for virus testing,Neutral
2022-11-01 12:11:02,China's COVID controls hits Shanghai Disney and iPhone output,Neutral
2022-11-01 13:59:44,Fox Logs Higher Revenue as Political Ads Rolled In,Positive
2022-11-01 14:03:19,Disney Plus subscribers are getting first dibs at new Marvel and Star Wars merchandise,Neutral
2022-11-01 17:05:49,"Disney+ subscribers are getting early access to exclusive merchandise, and it’s already selling out",Positive
2022-11-01 21:27:37,Disney+ expands into e-commerce with an exclusive merch shop for subscribers,Positive
2022-11-01 22:45:59,Communications Services Down on Growth Nerves -- Communications Services Roundup,Neutral
2022-11-02 09:13:30,"LaVine has 20 in 4th, Bulls beat Nets in 1st game after Nash",Positive
2022-11-02 13:57:59,"From Apple to Disney, China’s Covid curbs are again hurting business",Negative
2022-11-04 19:57:55,"Catalyst watch: CPI downtick, election ripples, Disney and Rivian earnings, Roblox conference call",Neutral
2022-11-07 11:46:23,Another nail in the photographers’ coffin as PhotoRoom develops $19 million,Positive
2022-11-07 14:39:26,Can confidential computing stop the next crypto heist?,Neutral
2022-11-07 17:05:53,"Star Wars spinoff The Acolyte adds Lee Jung-jae, Carrie-Anne Moss, and more to cast",Neutral
2022-11-07 19:18:17,"Disney Q4 earnings preview: Eyes on subscriber numbers, park recovery",Neutral
2022-11-07 19:50:48,"S&P, Dow, Nasdaq tick higher as midterm elections week kicks off; CPI print also in focus",Neutral
2022-11-07 23:19:01,"Stocks Rise Ahead of Midterms, Inflation Data",Positive
2022-11-08 02:11:06,Stock futures rise as Wall Street awaits U.S. midterm elections,Neutral
2022-11-08 14:54:01,Warner Bros. Discovery: A Bet On The Smartest Guys In The Room,Positive
2022-11-08 19:30:44,"Why Figma is selling to Adobe for $20 billon, with CEO Dylan Field",Neutral
2022-11-08 19:31:48,"Netflix Explores Investing in Sports Leagues, Bidding on Streaming Rights",Neutral
2022-11-08 20:24:39,Netflix is interested in carrying live sports: report,Positive
2022-11-08 20:52:37,We might get a Star Wars film from the director of Deadpool 3,Positive
2022-11-08 22:46:25,"Disney dips 7% as media side profits, revenue slip; subscribers top forecasts",Negative
2022-11-08 22:53:01,Miami-Dade County Public Schools And Lg&E And Ku Energy Honored For Healthcare Strategy Innovation By The National Alliance,Neutral
2022-11-09 00:41:23,40 percent of US Disney Plus subscribers picked the bundle with ESPN Plus and Hulu,Neutral
2022-11-09 04:13:22,What the Foxconn Exodus in Zhengzhou Means for China’s Supply Chains,Neutral
2022-11-09 06:15:56,Disney’s Earnings Hurt by Costs at Disney+,Negative
2022-11-09 09:39:31,Stock futures inch higher as Wall Street awaits results of midterm elections,Neutral
2022-11-09 13:10:26,Gaming PR chief Dean Bender retiring after 40 years,Neutral
2022-11-09 14:06:59,"Stocks making the biggest moves premarket: Tesla, Meta, DR Horton and more",Neutral
2022-11-09 15:14:51,"The Walt Disney, Banco Bradesco, Lucid Group among premarket losers' pack",Neutral
2022-11-09 15:52:07,Stocks Fall as Midterm Results Roll In,Negative
2022-11-09 15:53:01,The most influential CEOs in markets today,Neutral
2022-11-09 17:46:22,Disney: When To Buy The Magic Kingdom,Neutral
2022-11-09 18:46:22,Disney CEO Chapek says virtual parks won't replace in-person experience as stock crashes,Negative
2022-11-09 18:48:04,Elon Musk took over a struggling business with Twitter and has quickly made it worse,Negative
2022-11-09 19:39:04,"Stocks making the biggest moves midday: Disney, Meta Platforms, Lucid Motors, Roblox and more",Neutral
2022-11-09 19:41:11,Disney's steep streaming costs push shares to 2-1/2-year low,Negative
2022-11-09 20:04:04,Stocks slip as control of Congress remains unclear,Neutral
2022-11-09 20:04:11,"S&P, Dow, Nasdaq slump as post-election selloff picks up pace; inflation data in focus",Negative
2022-11-09 21:43:27,"World stocks slip, await CPI, US midterms outcome",Neutral
2022-11-09 21:57:00,Gaming company Kabam lays off 7% of its workforce to better align with goals,Neutral
2022-11-09 23:56:19,Communications Services Down After Disney Earnings -- Communications Services Roundup,Neutral
2022-11-10 00:33:19,"Asian Stocks Fall, Crypto Bounces Before CPI: Markets Wrap",Neutral
2022-11-10 01:39:30,"Nets make Jacque Vaughn coach, decide against Udoka pursuit",Neutral
2022-11-10 02:34:57,People with disabilities rate the top 10 cities that are easiest for them to travel around,Positive
2022-11-10 05:29:53,Asian markets follow Wall Street lower ahead of U.S. inflation update,Neutral
2022-11-10 18:04:00,Dempsey: ‘Disenchanted’ is an escape from dark-themed movies,Neutral
2022-11-10 18:18:07,‘Dog whisperer’ Cesar Millan says a long walk is ‘the biggest birthday gift you can give to a dog’,Positive
2022-11-10 19:38:47,Tropical Storm Nicole topples beachfront homes into ocean,Negative
2022-11-10 19:39:33,South African pay TV Multichoice banks on World Cup to grow subscribers,Neutral
2022-11-11 00:54:38,Stable Diffusion in your pocket? “Draw Things” brings AI images to iPhone,Neutral
2022-11-11 01:10:21,What a Republican Congress means for the H-1B visa,Neutral
2022-11-11 15:00:33,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc""",Neutral
2022-11-11 15:11:32,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc""",Neutral
2022-11-11 15:14:23,The Problem With Spinning Spacecraft,Neutral
2022-11-11 17:36:16,Storm Nicole drenches Georgia and Carolinas after wreaking destruction in Florida,Negative
2022-11-11 17:39:52,Chris Rock is set to be the first to perform live on Netflix,Positive
2022-11-11 21:57:29,"'Black Panther' sequel vies for 2022's best opening, to relief of theaters",Positive
2022-11-11 23:40:11,"Disney planning 'targeted' hiring freeze, some cuts - CNBC",Neutral
2022-11-11 23:42:29,"Disney plans targeted hiring freeze and job cuts, according to a memo from CEO Bob Chapek",Negative
2022-11-12 00:31:57,"Disney plans to freeze hiring, cut some jobs -memo",Negative
2022-11-12 00:34:11,S&P 500 rises ~6% to post best week since late June on massive inflation relief rally,Positive
2022-11-12 00:34:17,"Disney to announce layoffs, cost-cut measures: Wall Street Journal",Negative
2022-11-12 00:39:35,"Disney Details Plans for Cost Cuts, Layoffs and Hiring Freeze in Memo",Negative
2022-11-12 01:49:21,Studio Ghibli’s hand-drawn Star Wars animation hits Disney Plus tomorrow,Neutral
2022-11-12 01:51:40,"Disney is preparing to cut jobs, according to leaked memo from CEO",Negative
2022-11-12 10:55:59,"Coinbase, Meta, Disney: Stocks That Defined the Week",Neutral
2022-11-12 15:11:10,"Gift Guide: 23 Car Gifts & Gadgets for Mom, as Chosen by our Editors",Neutral
2022-11-12 18:47:35,Apple’s new entry-level iPad is on sale for the first time for $50 off,Positive
2022-11-13 00:03:53,"Disney plans to freeze hiring and cut jobs, memo shows",Negative
2022-11-13 16:42:06,'Watcher' keeps Murphy and Netflix on top of streaming ratings,Neutral
2022-11-13 18:31:32,"‘Black Panther: Wakanda Forever’ eyes $180 million opening weekend, highest November debut ever",Positive
2022-11-13 19:34:20,‘Black Panther: Wakanda Forever’ notches record opening for November,Positive
2022-11-13 22:46:36,"‘Black Panther: Wakanda Forever’ earns $180 million, second-best debut of 2022",Positive
2022-11-14 00:05:14,Pink Floyd Wanted $500 Million For Its Music. What Went Wrong?,Neutral
2022-11-14 09:37:43,"‘Black Panther’ Sequel Earns $180 Million in Domestic Open, Bolstering Disney",Positive
2022-11-14 10:43:45,Opinion: Life in zero-Covid China is becoming intolerable,Negative
2022-11-14 15:28:30,"AMC stock soars again after big 'Black Panther: Wakanda Forever' opening, but Cinemark and Imax shares fall",Neutral
2022-11-14 17:20:07,"New York City, Las Vegas are among the 10 most accessible cities in the world for people with disabilities",Positive
2022-11-14 17:54:23,Hulu Live TV adds 14 channels including Hallmark and The Weather Channel,Positive
2022-11-14 18:20:58,Corporate America cuts thousands of jobs as recession looms,Negative
2022-11-14 18:46:14,Andor’s first two episodes will air on TV over Thanksgiving,Neutral
2022-11-14 19:11:15,'Black Panther' sequel scores year's 2nd-best opening with $180M,Positive
2022-11-14 19:19:52,Disney+ has a new adorable short film for ‘The Mandalorian’ and ‘Spirited Away’ fans,Positive
2022-11-14 22:51:51,Moon Girl and Devil Dinosaur’s theme song has no business being this good,Positive
2022-11-15 10:26:55,Google Play finally adds UPI subscriptions in India,Positive
2022-11-15 12:20:46,China's COVID frustrations spark unrest in Guangzhou as cases rise,Negative
2022-11-15 12:23:12,Unrest in Guangzhou over COVID rules as cases rise,Negative
2022-11-15 16:23:26,The scary truth about AI copyright is nobody knows what will happen next,Neutral
2022-11-15 17:44:21,Paramount Global shares jump after Warren Buffett's Berkshire Hathaway increases stake,Positive
2022-11-15 20:02:14,Epic strikes back at Apple’s iOS “security” defense in appeals court,Neutral
2022-11-16 00:24:57,Disney World boosts prices as parks demand continues surge,Neutral
2022-11-16 00:27:26,"Some GOP Governors, Donors Say Party Should Move Past Donald Trump",Neutral
2022-11-16 16:39:52,The Verge’s favorite holiday gifts under $50,Neutral
2022-11-16 21:54:51,Disney Sets Higher Price for Magic Kingdom in First for Company,Neutral
2022-11-17 09:53:40,A Key Amazon Segment Is Leveraging The Network Effect,Neutral
2022-11-17 12:21:09,"Parents beware: Dangerous, recalled toys are still on sale",Negative
2022-11-17 15:55:16,Gameloft sees initial success with expansion to PC/consoles,Positive
2022-11-17 16:23:26,"Roku lays off 200 US employees, citing economic conditions",Negative
2022-11-17 17:23:42,"John Malone says he’s skeptical of ad-supported content as Netflix, Disney roll out ad tiers",Neutral
2022-11-17 17:44:48,Walmart and Target’s quarterly results lay bare the retailers’ stark differences,Neutral
2022-11-18 07:34:26,"At Thanksgiving dinner, avoid politics — and discuss these 5 timely financial questions instead",Neutral
2022-11-18 12:47:28,The Week In Press Releases: 11 Stories You Need To See,Neutral
2022-11-18 12:50:07,"Marvel didn’t recast Chadwick Boseman in ‘Wakanda Forever’ — and it was the right move, industry experts say",Positive
2022-11-18 13:02:00,Mina Group Announces New Marketing Leadership,Neutral
2022-11-18 13:58:00,This Week In Finance News: 11 Stories You Need To See,Neutral
2022-11-18 20:25:39,Elon Musk’s $50 billion trial comes to an end today,Neutral
2022-11-19 01:10:59,'Wakanda Forever' set to dominate movie weekend again,Positive
2022-11-19 15:30:37,It's Time to Make 3D TVs a Thing Again,Neutral
2022-11-20 00:23:24,"Gopuff launches scheduled deliveries, gifting and in-store pickup",Neutral
2022-11-20 13:09:28,"DeSantis, Others Draw Distinctions With Trump in 2024 GOP Nomination Race",Negative
2022-11-20 20:40:19,4 ways big brands with big awareness can close the attention gap,Neutral
2022-11-21 05:24:12,"Bob Iger steps back in as Disney CEO, replacing Bob Chapek",Neutral
2022-11-21 10:23:15,Disney Shares Soar on Iger Return as CEO After Shock Ouster,Positive
2022-11-21 11:24:12,Monday’s top tech news: Don’t call it a comeback,Neutral
2022-11-21 11:26:45,Robert Iger Returns as Disney CEO as Bob Chapek Is Ousted,Neutral
2022-11-21 12:26:45,"GOP House Majority Could Shield Industries From New Taxes, Regulations",Neutral
2022-11-21 12:59:11,"Nasdaq, S&P, Dow are mixed as yields ease and China COVID curbs hit sentiment",Negative
2022-11-21 13:23:25,Disney brings back Bob Iger as CEO in bid to boost growth,Positive
2022-11-21 13:23:44,Streaming grows TV-usage lead even as Broadcast marks seasonal growth,Neutral
2022-11-21 13:26:26,Disney shares rise after Iger replaces Chapek as CEO,Positive
2022-11-21 14:15:30,Bob Iger named Disney CEO in shocking development,Neutral
2022-11-21 14:20:26,"Stocks making the biggest moves in the premarket: Walt Disney, Carvana, Coinbase and more",Neutral
2022-11-21 14:23:05,"Disney stock rockets upon Bob Iger’s return, as ‘perhaps the best leader in media’ is back",Positive
2022-11-21 14:23:44,Bob Iger taking back CEO job at Disney; Chapek exits,Neutral
2022-11-21 15:01:48,Disney's Iger may have to cut costs as streaming loses money,Negative
2022-11-21 15:51:15,"Disney's stock soars to add more than 50 points to the Dow's price, leads S&P 500 gainers",Positive
2022-11-21 16:15:03,Outgoing Disney CEO Bob Chapek Likely Leaves With at Least $23 Million,Neutral
2022-11-21 16:31:06,Disney Shares Rally as Former CEO Robert Iger Returns,Positive
2022-11-21 17:30:59,Disney board's decision to replace Bob Chapek with Bob Iger makes everyone look bad,Negative
2022-11-21 18:40:27,Disney’s Robert Iger May Find Second Time Isn’t Quite the Charm,Negative
2022-11-21 19:35:22,"Stocks making the biggest moves midday: Disney, Carvana, Diamondback Energy and more",Neutral
2022-11-21 20:50:37,Dow's gain defies bearish breadth,Neutral
2022-11-21 22:21:51,"'Black Panther' sequel rolls again, while 'She Said' flops",Positive
2022-11-21 22:58:43,Iger to Receive $27 Million Yearly for Return as Disney CEO,Neutral
2022-11-21 23:12:51,Why did Disney stock surge today? Return of the CEO,Positive
2022-11-21 23:38:50,Iger announces first big moves in new tenure as Disney CEO: Restructuring and departure of Chapek right hand Kareem Daniel,Neutral
2022-11-22 00:13:49,Jim Cramer says he’s bullish on Disney after Iger’s return as CEO,Positive
2022-11-22 00:28:34,"Moving quickly, Iger launching Disney restructuring",Neutral
2022-11-22 00:43:56,Can Bob Iger fix Disney?,Neutral
2022-11-22 00:44:06,Top Disney exec Kareem Daniel to leave as Bob Iger returns,Neutral
2022-11-22 01:33:57,Disney and the Post-Pandemic Reckoning,Neutral
2022-11-22 01:40:06,Here’s everything coming to Hulu in December 2022 — and what’s leaving,Neutral
2022-11-22 01:45:41,Penguin Random House scraps US$2.2 billion deal to merge with Simon & Schuster,Negative
2022-11-22 04:31:46,"When Disney Decided to Dump its CEO, the Change Happened Fast",Neutral
2022-11-22 05:31:56,Bob Iger moves fast to dismantle Chapek’s reorganization of Disney,Neutral
2022-11-22 12:19:48,"Walt Disney CFO, Others Brought Concerns to Board Over Bob Chapek",Neutral
2022-11-22 12:30:19,The Trade Desk Takes Market Share From Google And Meta,Positive
2022-11-22 14:51:42,'Boomerang CEOs' don't always work out; Disney hopes this one bucks trend,Neutral
2022-11-22 14:51:48,Disney’s tale of two Bobs,Neutral
2022-11-22 15:27:36,HyperloopTT to go public via SPAC led by former Disney execs,Positive
2022-11-22 15:49:48,Bob Iger: Here’s how much the CEO will make in his return to Disney,Neutral
2022-11-22 15:59:21,NFT marketplace Magic Eden integrates with Polygon to grow blockchain gaming,Positive
2022-11-22 16:40:33,Robert Iger’s Return to Disney Has Many Fans Overjoyed,Positive
2022-11-22 17:39:19,Everyone thinks Apple’s negotiations with the NFL are dragging on,Neutral
2022-11-22 19:19:40,DeSantis Won Over Florida. Now He Has the Rest of the US to Convince,Neutral
2022-11-22 20:50:24,Shaquille O'Neal-backed SPAC Forest Road II to merge with HyperloopTT,Neutral
2022-11-22 21:01:00,Disney is counting on Bob Iger to make hard decisions about its streaming and TV assets – or find someone who will,Neutral
2022-11-22 21:51:10,Robert Iger Returns to Disney Facing Radically Different Streaming Landscape,Neutral
2022-11-22 23:47:27,"Florida Legislature crowns new GOP leaders in House, Senate",Neutral
2022-11-22 23:49:39,Disney Needs ‘Chainsaw’ Bob Iger,Neutral
2022-11-23 00:13:03,Here’s everything coming to Netflix in December 2022 — and what’s leaving,Neutral
2022-11-23 00:17:06,HyperloopTT’s SPAC public debut may be going nowhere fast,Negative
2022-11-23 02:19:20,"Disney’s Robert Iger Loomed Over His Successor as CEO, Creating Tensions",Negative
2022-11-23 04:19:20,Disney’s ‘Avatar: The Way of Water’ Cleared for December Release in China,Neutral
2022-11-23 05:31:55,‘Avatar’ sequel needs $2 billion to break even. But are audiences still excited about 3D?,Neutral
2022-11-23 05:36:24,Disney's 'Avatar: The Way of Water' gets coveted China release,Positive
2022-11-23 09:22:46,Andor’s Diego Luna Is as Excited for Season 2 as You Are,Positive
2022-11-23 14:04:40,Big Shareholder Signals Opposition to News Corp-Fox Combination,Negative
2022-11-23 18:22:37,Review: ‘Strange World’ explores big themes in bold colors,Positive
2022-11-23 18:42:28,The Guardians of the Galaxy Holiday Special turns Christmas into lore,Neutral
2022-11-23 19:06:08,"Michael Bublé And Luisana Lopilato Back At ""Home"" At Walt Disney World Resort",Positive
2022-11-23 19:36:28,"The best Black Friday streaming deals on Hulu, HBO Max, Paramount Plus, and more",Positive
2022-11-23 20:24:27,The best Black Friday deals under $50,Positive
2022-11-23 20:57:37,Amazon plans to pour $1 billion annually on theater movies,Neutral
2022-11-23 20:58:32,Disney CEO Bob Iger to hold town hall with employees on Monday,Neutral
2022-11-23 20:59:28,Iger heading to Disney lot Monday for company town hall - CNBC,Neutral
2022-11-23 23:53:12,The best Black Friday deals under $25,Positive
2022-11-24 07:12:46,Mainland China’s total daily Covid cases soar above Shanghai lockdown highs,Negative
2022-11-24 09:10:57,What is a chief metaverse officer and why are companies like Disney and P&G appointing one?,Neutral
2022-11-24 09:14:11,Thanksgiving travel rush is back with some new habits,Neutral
2022-11-24 15:42:56,Andor’s season finale solidifies it as one of Star Wars’ greatest stories,Positive
2022-11-24 16:15:30,"Disney looks to claim Thanksgiving box-office crown again with Marvel, 'Strange World'",Positive
2022-11-24 19:52:14,Tokyo Disney drives traffic surge at nearby hotels,Positive
2022-11-25 06:38:12,The African Fashion Hub Punching Above Its Weight,Positive
2022-11-25 14:30:31,"11 of the best Black Friday TV deals, including $500 off Samsung’s ‘The Frame’ TV, $660 off an LG OLED TV, and more",Positive
2022-11-25 14:31:02,Target Announces Hot Holiday Deals With Two-Day Cyber Monday Sales Event,Positive
2022-11-25 15:03:26,Bob Iger Is Back—and Disney Is Probably Better for It,Positive
2022-11-25 15:40:09,Midnight comes out of stealth with $7.5M in funding for a new game company,Positive
2022-11-25 15:41:23,The best Black Friday deals at Amazon,Positive
2022-11-25 16:52:42,Apple Buying Manchester United? More Like Chinese Art Marrying French Rap,Neutral
2022-11-25 16:55:50,Shanghai Disneyland reopens after monthlong shutdown,Positive
2022-11-25 17:54:33,"35 absolute best Black Friday deals, including Samsung’s ‘The Frame’ TV at $500 off, the Dyson V8 vacuum at $219 off, Apple Airpods at $55 off, and much more",Positive
2022-11-25 18:51:38,Get a year of Hulu’s ad-supported streaming for just $2 per month,Positive
2022-11-25 22:34:49,The Disney CFO Who Raised Concerns About Bob Chapek Has Respect on the Street,Positive
2022-11-25 23:45:10,Toy Makers Are Betting on Last-Minute Holiday Shopping to Save the Year,Positive
2022-11-26 02:13:02,The best Black Friday deals at Amazon,Positive
2022-11-26 06:17:21,These Children Are Making Millions on YouTube,Positive
2022-11-26 08:14:01,Musk says he will support DeSantis if Florida governor runs for president,Neutral
2022-11-26 17:35:30,Black Friday online sales top $9 billion in new record,Positive
2022-11-26 21:53:19,The best Black Friday deals under $50,Positive
2022-11-27 15:59:11,Top Wall Street analysts say buy these stocks during a market downturn,Neutral
2022-11-27 17:10:31,The best early Cyber Monday deals you can get at Target,Positive
2022-11-27 19:03:21,Feast and famine for Disney at Thanksgiving box office,Neutral
2022-11-27 20:20:38,Disney is the biggest winner — and loser — at the Thanksgiving box office,Neutral
2022-11-27 22:52:30,Five Questions For Bob Iger and the Disney Board,Neutral
2022-11-27 22:55:31,Disney’s Robert Iger Faces Troubled Animation Market as ‘Strange World’ Bombs,Negative
2022-11-27 23:22:34,Disney’s ‘Strange World’ turns out to be a Thanksgiving turkey at box office,Negative
2022-11-28 01:43:33,Adidas execs worried about risk of exposure to Kanye West years ago,Neutral
2022-11-28 02:47:43,Attorney general of Bahamas deflects blame for FTX’s collapse,Neutral
2022-11-28 05:03:25,CEO of multimillion-dollar company Casetify shares his No. 1 ‘super underrated’ business tip,Neutral
2022-11-28 11:41:49,"35 of the best Cyber Monday deals, from Apple Airpods to a Ninja air fryer to $500 off Samsung’s ‘The Frame’ TV",Neutral
2022-11-28 18:17:37,"‘Knives Out’ Was a Missed Opportunity for Netflix, Analyst Says",Negative
2022-11-28 18:28:57,Apple: No Margin Of Safety,Negative
2022-11-28 18:49:17,Disney's Iger: Hiring freeze stays for now; Apple merger talk 'speculation' (updated),Neutral
2022-11-28 18:51:10,"Disney hiring freeze will stay in place, CEO Bob Iger tells employees",Neutral
2022-11-28 19:46:24,Disney CEO Robert Iger vows to focus on creativity at town hall,Neutral
2022-11-28 21:03:44,The V Foundation Announces 16th Annual V Week For Cancer Research With Founding Partner Espn,Positive
2022-11-28 22:08:55,Google increasing heat on Apple over NFL Sunday Ticket package as talks linger: report,Neutral
