,SBUX,processed_text
2023-05-14 14:00:01,China's recovery lifts U.S. companies' sales as domestic consumers pull back spending,chinas recovery lifts us companies sales domestic consumers pull back spending
2023-05-13 03:00:00,"BEYOND MEAT ALERT: Bragar Eagel & Squire, P.C. Announces that a Class Action Lawsuit Has Been Filed Against Beyond Meat Inc. and Encourages Investors to Contact the Firm",beyond meat alert bragar eagel squire pc announces class action lawsuit filed beyond meat inc encourages investors contact firm
2023-05-12 19:20:00,"Shareholder Alert: Robbins LLP Informs Investors of Class Action Against Beyond Meat, Inc. (BYND)",shareholder alert robbins llp informs investors class action beyond meat inc bynd
2023-05-12 13:50:54,The real reasons stores are closing in big cities,real reasons stores closing big cities
2023-05-11 10:27:46,Vegan Food Market to Exhibit CAGR Of 16.26% By 2032 To,vegan food market exhibit cagr
2023-05-11 07:08:24,Global companies warn of slower-than-expected recovery in China,global companies warn slowerthanexpected recovery china
2023-05-10 15:23:29,Some customers order Starbucks’ Refreshers without water. The company says this will now cost extra,customers order starbucks refreshers without water company says cost extra
2023-05-08 01:49:44,Some elite podcasters are suffering while the podcast masses thrive,elite podcasters suffering podcast masses thrive
2023-05-05 13:06:06,How on-demand delivery services hobbled an American city,ondemand delivery services hobbled american city
2023-05-04 12:14:00,Starbucks pushes appeal in Memphis union case; US labor tactics scrutinized,starbucks pushes appeal memphis union case us labor tactics scrutinized
2023-05-04 09:32:04,Starbucks profits beat on China recovery,starbucks profits beat china recovery
2023-05-04 09:06:18,Chinese cafe chain Mellower Coffee exits Vietnam,chinese cafe chain mellower coffee exits vietnam
2023-05-04 01:39:49,DocuSign — which is forcing employees back to the office — touts report about remote work benefits,docusign forcing employees back office touts report remote work benefits
2023-05-03 22:08:00,"Stock Market Today: Dow slips as Fed hikes again, moves to data-dependent stance",stock market today dow slips fed hikes moves datadependent stance
2023-05-03 20:52:00,NationSwell Collaboratives Receives Two Honors in Fast Company’s 2023 World Changing Ideas Awards,nationswell collaboratives receives two honors fast companys world changing ideas awards
2023-05-03 18:44:04,"Stocks making the biggest moves midday: CVS Health, Eli Lilly, Clorox, Yum and more",stocks making biggest moves midday cvs health eli lilly clorox yum
2023-05-03 14:13:34,"Stocks making the biggest moves premarket: Starbucks, AMD, Pearson, PacWest & more",stocks making biggest moves premarket starbucks amd pearson pacwest
2023-05-03 13:45:00,"AMD, Starbucks, Estée Lauder fall premarket; Eli Lilly, Kraft Heinz rise",amd starbucks este lauder fall premarket eli lilly kraft heinz rise
2023-05-03 13:35:02,Yum Brands earnings miss estimates despite KFC and Pizza Hut's recovery in China,yum brands earnings miss estimates despite kfc pizza huts recovery china
2023-05-03 11:30:00,"Workers Have High Hopes for Pay Raises, Companies Not So Much",workers high hopes pay raises companies much
2023-05-03 06:52:50,"Morning Bid: Deja vu for Powell, as bank and debt fears revive",morning bid deja vu powell bank debt fears revive
2023-05-03 01:43:31,Starbucks’ new CEO lays out improvement plan,starbucks new ceo lays improvement plan
2023-05-03 00:52:00,"Dow futures steady, AMD sheds 6.5% after earnings",dow futures steady amd sheds earnings
2023-05-02 23:21:22,"Starbucks sales, profits top estimates on China recovery",starbucks sales profits top estimates china recovery
2023-05-02 23:15:11,"Stocks making the biggest moves after hours: Ford, Starbucks, Clorox and more",stocks making biggest moves hours ford starbucks clorox
2023-05-02 22:48:03,Starbucks says it is seeing demand heat up as China recovers,starbucks says seeing demand heat china recovers
2023-05-02 22:29:00,Starbucks stock sinks as new CEO sticks with predecessor’s forecast despite earnings beat,starbucks stock sinks new ceo sticks predecessors forecast despite earnings beat
2023-05-02 21:44:41,Revlon emerges from bankruptcy with new board and new owners,revlon emerges bankruptcy new board new owners
2023-05-02 21:30:11,Starbucks earnings beat as China reverses same-store sales declines,starbucks earnings beat china reverses samestore sales declines
2023-05-02 21:28:00,Starbucks drops 5% despite earnings beat; 'Investors may have wanted more' says Morgan Stanley,starbucks drops despite earnings beat investors may wanted says morgan stanley
2023-05-02 16:00:00,DocuSign joins growing list of tech companies summoning employees back to the office,docusign joins growing list tech companies summoning employees back office
2023-05-02 13:36:01,Tinder owner to quit Russia more than a year after invasion began,tinder owner quit russia year invasion began
2023-05-02 11:17:00,"Fed meeting looms, debt ceiling deadline, Eurozone CPI - what's moving markets",fed meeting looms debt ceiling deadline eurozone cpi whats moving markets
2023-05-02 08:24:45,7-Eleven Australia owners ready to sell,eleven australia owners ready sell
2023-05-02 06:49:40,Morning Bid: RBA shock hike starts huge week for central banks,morning bid rba shock hike starts huge week central banks
