,DIS,processed_text,bert_sentiment
2022-10-31 17:54:51,Dow on track for best month in more than 45 years,dow track best month years,Positive
2022-10-31 22:07:02,Ralph Lauren to Launch Fortnite Fashion Line With First Polo Logo Mashup,ralph lauren launch fortnite fashion line first polo logo mashup,Positive
2022-11-01 00:43:09,Shanghai Disneyland Locked Visitors in Park on Covid Case,shanghai disneyland locked visitors park covid case,Positive
2022-11-01 01:25:06,U.S. judge says Penguin Random House book merger cannot go forward,us judge says penguin random house book merger cannot go forward,Negative
2022-11-01 10:03:43,Shanghai Disney guests kept in closed park for virus testing,shanghai disney guests kept closed park virus testing,Positive
2022-11-01 12:11:02,China's COVID controls hits Shanghai Disney and iPhone output,china covid controls hits shanghai disney iphone output,Positive
2022-11-01 13:59:44,Fox Logs Higher Revenue as Political Ads Rolled In,fox logs higher revenue political ads rolled,Negative
2022-11-01 14:03:19,Disney Plus subscribers are getting first dibs at new Marvel and Star Wars merchandise,disney plus subscribers getting first dibs new marvel star wars merchandise,Positive
2022-11-01 17:05:49,"Disney+ subscribers are getting early access to exclusive merchandise, and it’s already selling out",disney subscribers getting early access exclusive merchandise already selling,Negative
2022-11-01 21:27:37,Disney+ expands into e-commerce with an exclusive merch shop for subscribers,disney expands ecommerce exclusive merch shop subscribers,Positive
2022-11-01 22:45:59,Communications Services Down on Growth Nerves -- Communications Services Roundup,communications services growth nerves communications services roundup,Neutral
2022-11-02 09:13:30,"LaVine has 20 in 4th, Bulls beat Nets in 1st game after Nash",lavine th bulls beat nets st game nash,Negative
2022-11-02 13:57:59,"From Apple to Disney, China’s Covid curbs are again hurting business",apple disney chinas covid curbs hurting business,Negative
2022-11-04 19:57:55,"Catalyst watch: CPI downtick, election ripples, Disney and Rivian earnings, Roblox conference call",catalyst watch cpi downtick election ripples disney rivian earnings roblox conference call,Negative
2022-11-07 11:46:23,Another nail in the photographers’ coffin as PhotoRoom develops $19 million,another nail photographers coffin photoroom develops million,Negative
2022-11-07 14:39:26,Can confidential computing stop the next crypto heist?,confidential computing stop next crypto heist,Negative
2022-11-07 17:05:53,"Star Wars spinoff The Acolyte adds Lee Jung-jae, Carrie-Anne Moss, and more to cast",star wars spinoff acolyte adds lee jungjae carrieanne moss cast,Positive
2022-11-07 19:18:17,"Disney Q4 earnings preview: Eyes on subscriber numbers, park recovery",disney earnings preview eyes subscriber numbers park recovery,Positive
2022-11-07 19:50:48,"S&P, Dow, Nasdaq tick higher as midterm elections week kicks off; CPI print also in focus",sp dow nasdaq tick higher midterm elections week kicks cpi print also focus,Negative
2022-11-07 23:19:01,"Stocks Rise Ahead of Midterms, Inflation Data",stocks rise ahead midterms inflation data,Neutral
2022-11-08 02:11:06,Stock futures rise as Wall Street awaits U.S. midterm elections,stock futures rise wall street awaits us midterm elections,Positive
2022-11-08 14:54:01,Warner Bros. Discovery: A Bet On The Smartest Guys In The Room,warner bros discovery bet smartest guys room,Positive
2022-11-08 19:30:44,"Why Figma is selling to Adobe for $20 billon, with CEO Dylan Field",figma selling adobe billon ceo dylan field,Negative
2022-11-08 19:31:48,"Netflix Explores Investing in Sports Leagues, Bidding on Streaming Rights",netflix explores investing sports leagues bidding streaming rights,Positive
2022-11-08 20:24:39,Netflix is interested in carrying live sports: report,netflix interested carrying live sports report,Positive
2022-11-08 20:52:37,We might get a Star Wars film from the director of Deadpool 3,might get star wars film director deadpool,Neutral
2022-11-08 22:46:25,"Disney dips 7% as media side profits, revenue slip; subscribers top forecasts",disney dips media side profits revenue slip subscribers top forecasts,Negative
2022-11-08 22:53:01,Miami-Dade County Public Schools And Lg&E And Ku Energy Honored For Healthcare Strategy Innovation By The National Alliance,miamidade county public schools lge ku energy honored healthcare strategy innovation national alliance,Positive
2022-11-09 00:41:23,40 percent of US Disney Plus subscribers picked the bundle with ESPN Plus and Hulu,percent us disney plus subscribers picked bundle espn plus hulu,Negative
2022-11-09 04:13:22,What the Foxconn Exodus in Zhengzhou Means for China’s Supply Chains,foxconn exodus zhengzhou means chinas supply chains,Positive
2022-11-09 06:15:56,Disney’s Earnings Hurt by Costs at Disney+,disneys earnings hurt costs disney,Negative
2022-11-09 09:39:31,Stock futures inch higher as Wall Street awaits results of midterm elections,stock futures inch higher wall street awaits results midterm elections,Negative
2022-11-09 13:10:26,Gaming PR chief Dean Bender retiring after 40 years,gaming pr chief dean bender retiring years,Positive
2022-11-09 14:06:59,"Stocks making the biggest moves premarket: Tesla, Meta, DR Horton and more",stocks making biggest moves premarket tesla meta dr horton,Positive
2022-11-09 15:14:51,"The Walt Disney, Banco Bradesco, Lucid Group among premarket losers' pack",walt disney banco bradesco lucid group among premarket losers pack,Negative
2022-11-09 15:52:07,Stocks Fall as Midterm Results Roll In,stocks fall midterm results roll,Negative
2022-11-09 15:53:01,The most influential CEOs in markets today,influential ceos markets today,Positive
2022-11-09 17:46:22,Disney: When To Buy The Magic Kingdom,disney buy magic kingdom,Positive
2022-11-09 18:46:22,Disney CEO Chapek says virtual parks won't replace in-person experience as stock crashes,disney ceo chapek says virtual parks wo replace inperson experience stock crashes,Negative
2022-11-09 18:48:04,Elon Musk took over a struggling business with Twitter and has quickly made it worse,elon musk took struggling business twitter quickly made worse,Negative
2022-11-09 19:39:04,"Stocks making the biggest moves midday: Disney, Meta Platforms, Lucid Motors, Roblox and more",stocks making biggest moves midday disney meta platforms lucid motors roblox,Positive
2022-11-09 19:41:11,Disney's steep streaming costs push shares to 2-1/2-year low,disney steep streaming costs push shares year low,Negative
2022-11-09 20:04:04,Stocks slip as control of Congress remains unclear,stocks slip control congress remains unclear,Negative
2022-11-09 20:04:11,"S&P, Dow, Nasdaq slump as post-election selloff picks up pace; inflation data in focus",sp dow nasdaq slump postelection selloff picks pace inflation data focus,Positive
2022-11-09 21:43:27,"World stocks slip, await CPI, US midterms outcome",world stocks slip await cpi us midterms outcome,Negative
2022-11-09 21:57:00,Gaming company Kabam lays off 7% of its workforce to better align with goals,gaming company kabam lays workforce better align goals,Positive
2022-11-09 23:56:19,Communications Services Down After Disney Earnings -- Communications Services Roundup,communications services disney earnings communications services roundup,Negative
2022-11-10 00:33:19,"Asian Stocks Fall, Crypto Bounces Before CPI: Markets Wrap",asian stocks fall crypto bounces cpi markets wrap,Negative
2022-11-10 01:39:30,"Nets make Jacque Vaughn coach, decide against Udoka pursuit",nets make jacque vaughn coach decide udoka pursuit,Negative
2022-11-10 02:34:57,People with disabilities rate the top 10 cities that are easiest for them to travel around,people disabilities rate top cities easiest travel around,Positive
2022-11-10 05:29:53,Asian markets follow Wall Street lower ahead of U.S. inflation update,asian markets follow wall street lower ahead us inflation update,Negative
2022-11-10 18:04:00,Dempsey: ‘Disenchanted’ is an escape from dark-themed movies,dempsey disenchanted escape darkthemed movies,Positive
2022-11-10 18:18:07,‘Dog whisperer’ Cesar Millan says a long walk is ‘the biggest birthday gift you can give to a dog’,dog whisperer cesar millan says long walk biggest birthday gift give dog,Positive
2022-11-10 19:38:47,Tropical Storm Nicole topples beachfront homes into ocean,tropical storm nicole topples beachfront homes ocean,Negative
2022-11-10 19:39:33,South African pay TV Multichoice banks on World Cup to grow subscribers,south african pay tv multichoice banks world cup grow subscribers,Positive
2022-11-11 00:54:38,Stable Diffusion in your pocket? “Draw Things” brings AI images to iPhone,stable diffusion pocket draw things brings ai images iphone,Positive
2022-11-11 01:10:21,What a Republican Congress means for the H-1B visa,republican congress means hb visa,Positive
2022-11-11 15:00:33,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc""",cool cats group partners animoca brands onefootball labs launch cool cats fc,Positive
2022-11-11 15:11:32,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc""",cool cats group partners animoca brands onefootball labs launch cool cats fc,Positive
2022-11-11 15:14:23,The Problem With Spinning Spacecraft,problem spinning spacecraft,Neutral
2022-11-11 17:36:16,Storm Nicole drenches Georgia and Carolinas after wreaking destruction in Florida,storm nicole drenches georgia carolinas wreaking destruction florida,Negative
2022-11-11 17:39:52,Chris Rock is set to be the first to perform live on Netflix,chris rock set first perform live netflix,Positive
2022-11-11 21:57:29,"'Black Panther' sequel vies for 2022's best opening, to relief of theaters",black panther sequel vies best opening relief theaters,Positive
2022-11-11 23:40:11,"Disney planning 'targeted' hiring freeze, some cuts - CNBC",disney planning targeted hiring freeze cuts cnbc,Neutral
2022-11-11 23:42:29,"Disney plans targeted hiring freeze and job cuts, according to a memo from CEO Bob Chapek",disney plans targeted hiring freeze job cuts according memo ceo bob chapek,Negative
2022-11-12 00:31:57,"Disney plans to freeze hiring, cut some jobs -memo",disney plans freeze hiring cut jobs memo,Negative
2022-11-12 00:34:11,S&P 500 rises ~6% to post best week since late June on massive inflation relief rally,sp rises post best week since late june massive inflation relief rally,Negative
2022-11-12 00:34:17,"Disney to announce layoffs, cost-cut measures: Wall Street Journal",disney announce layoffs costcut measures wall street journal,Positive
2022-11-12 00:39:35,"Disney Details Plans for Cost Cuts, Layoffs and Hiring Freeze in Memo",disney details plans cost cuts layoffs hiring freeze memo,Positive
2022-11-12 01:49:21,Studio Ghibli’s hand-drawn Star Wars animation hits Disney Plus tomorrow,studio ghiblis handdrawn star wars animation hits disney plus tomorrow,Positive
2022-11-12 01:51:40,"Disney is preparing to cut jobs, according to leaked memo from CEO",disney preparing cut jobs according leaked memo ceo,Negative
2022-11-12 10:55:59,"Coinbase, Meta, Disney: Stocks That Defined the Week",coinbase meta disney stocks defined week,Positive
2022-11-12 15:11:10,"Gift Guide: 23 Car Gifts & Gadgets for Mom, as Chosen by our Editors",gift guide car gifts gadgets mom chosen editors,Positive
2022-11-12 18:47:35,Apple’s new entry-level iPad is on sale for the first time for $50 off,apples new entrylevel ipad sale first time,Positive
2022-11-13 00:03:53,"Disney plans to freeze hiring and cut jobs, memo shows",disney plans freeze hiring cut jobs memo shows,Negative
2022-11-13 16:42:06,'Watcher' keeps Murphy and Netflix on top of streaming ratings,watcher keeps murphy netflix top streaming ratings,Positive
2022-11-13 18:31:32,"‘Black Panther: Wakanda Forever’ eyes $180 million opening weekend, highest November debut ever",black panther wakanda forever eyes million opening weekend highest november debut ever,Positive
2022-11-13 19:34:20,‘Black Panther: Wakanda Forever’ notches record opening for November,black panther wakanda forever notches record opening november,Positive
2022-11-13 22:46:36,"‘Black Panther: Wakanda Forever’ earns $180 million, second-best debut of 2022",black panther wakanda forever earns million secondbest debut,Positive
2022-11-14 00:05:14,Pink Floyd Wanted $500 Million For Its Music. What Went Wrong?,pink floyd wanted million music went wrong,Negative
2022-11-14 09:37:43,"‘Black Panther’ Sequel Earns $180 Million in Domestic Open, Bolstering Disney",black panther sequel earns million domestic open bolstering disney,Positive
2022-11-14 10:43:45,Opinion: Life in zero-Covid China is becoming intolerable,opinion life zerocovid china becoming intolerable,Negative
2022-11-14 15:28:30,"AMC stock soars again after big 'Black Panther: Wakanda Forever' opening, but Cinemark and Imax shares fall",amc stock soars big black panther wakanda forever opening cinemark imax shares fall,Neutral
2022-11-14 17:20:07,"New York City, Las Vegas are among the 10 most accessible cities in the world for people with disabilities",new york city las vegas among accessible cities world people disabilities,Positive
2022-11-14 17:54:23,Hulu Live TV adds 14 channels including Hallmark and The Weather Channel,hulu live tv adds channels including hallmark weather channel,Positive
2022-11-14 18:20:58,Corporate America cuts thousands of jobs as recession looms,corporate america cuts thousands jobs recession looms,Negative
2022-11-14 18:46:14,Andor’s first two episodes will air on TV over Thanksgiving,andors first two episodes air tv thanksgiving,Positive
2022-11-14 19:11:15,'Black Panther' sequel scores year's 2nd-best opening with $180M,black panther sequel scores year ndbest opening,Positive
2022-11-14 19:19:52,Disney+ has a new adorable short film for ‘The Mandalorian’ and ‘Spirited Away’ fans,disney new adorable short film mandalorian spirited away fans,Positive
2022-11-14 22:51:51,Moon Girl and Devil Dinosaur’s theme song has no business being this good,moon girl devil dinosaurs theme song business good,Negative
2022-11-15 10:26:55,Google Play finally adds UPI subscriptions in India,google play finally adds upi subscriptions india,Positive
2022-11-15 12:20:46,China's COVID frustrations spark unrest in Guangzhou as cases rise,china covid frustrations spark unrest guangzhou cases rise,Negative
2022-11-15 12:23:12,Unrest in Guangzhou over COVID rules as cases rise,unrest guangzhou covid rules cases rise,Negative
2022-11-15 16:23:26,The scary truth about AI copyright is nobody knows what will happen next,scary truth ai copyright nobody knows happen next,Negative
2022-11-15 17:44:21,Paramount Global shares jump after Warren Buffett's Berkshire Hathaway increases stake,paramount global shares jump warren buffett berkshire hathaway increases stake,Negative
2022-11-15 20:02:14,Epic strikes back at Apple’s iOS “security” defense in appeals court,epic strikes back apples ios security defense appeals court,Positive
2022-11-16 00:24:57,Disney World boosts prices as parks demand continues surge,disney world boosts prices parks demand continues surge,Positive
2022-11-16 00:27:26,"Some GOP Governors, Donors Say Party Should Move Past Donald Trump",gop governors donors say party move past donald trump,Negative
2022-11-16 16:39:52,The Verge’s favorite holiday gifts under $50,verges favorite holiday gifts,Positive
2022-11-16 21:54:51,Disney Sets Higher Price for Magic Kingdom in First for Company,disney sets higher price magic kingdom first company,Positive
2022-11-17 09:53:40,A Key Amazon Segment Is Leveraging The Network Effect,key amazon segment leveraging network effect,Positive
2022-11-17 12:21:09,"Parents beware: Dangerous, recalled toys are still on sale",parents beware dangerous recalled toys still sale,Negative
2022-11-17 15:55:16,Gameloft sees initial success with expansion to PC/consoles,gameloft sees initial success expansion pcconsoles,Positive
2022-11-17 16:23:26,"Roku lays off 200 US employees, citing economic conditions",roku lays us employees citing economic conditions,Negative
2022-11-17 17:23:42,"John Malone says he’s skeptical of ad-supported content as Netflix, Disney roll out ad tiers",john malone says hes skeptical adsupported content netflix disney roll ad tiers,Negative
2022-11-17 17:44:48,Walmart and Target’s quarterly results lay bare the retailers’ stark differences,walmart targets quarterly results lay bare retailers stark differences,Neutral
2022-11-18 07:34:26,"At Thanksgiving dinner, avoid politics — and discuss these 5 timely financial questions instead",thanksgiving dinner avoid politics discuss timely financial questions instead,Negative
2022-11-18 12:47:28,The Week In Press Releases: 11 Stories You Need To See,week press releases stories need see,Positive
2022-11-18 12:50:07,"Marvel didn’t recast Chadwick Boseman in ‘Wakanda Forever’ — and it was the right move, industry experts say",marvel didnt recast chadwick boseman wakanda forever right move industry experts say,Negative
2022-11-18 13:02:00,Mina Group Announces New Marketing Leadership,mina group announces new marketing leadership,Positive
2022-11-18 13:58:00,This Week In Finance News: 11 Stories You Need To See,week finance news stories need see,Positive
2022-11-18 20:25:39,Elon Musk’s $50 billion trial comes to an end today,elon musks billion trial comes end today,Negative
2022-11-19 01:10:59,'Wakanda Forever' set to dominate movie weekend again,wakanda forever set dominate movie weekend,Positive
2022-11-19 15:30:37,It's Time to Make 3D TVs a Thing Again,time make tvs thing,Positive
2022-11-20 00:23:24,"Gopuff launches scheduled deliveries, gifting and in-store pickup",gopuff launches scheduled deliveries gifting instore pickup,Positive
2022-11-20 13:09:28,"DeSantis, Others Draw Distinctions With Trump in 2024 GOP Nomination Race",desantis others draw distinctions trump gop nomination race,Neutral
2022-11-20 20:40:19,4 ways big brands with big awareness can close the attention gap,ways big brands big awareness close attention gap,Positive
2022-11-21 05:24:12,"Bob Iger steps back in as Disney CEO, replacing Bob Chapek",bob iger steps back disney ceo replacing bob chapek,Positive
2022-11-21 10:23:15,Disney Shares Soar on Iger Return as CEO After Shock Ouster,disney shares soar iger return ceo shock ouster,Negative
2022-11-21 11:24:12,Monday’s top tech news: Don’t call it a comeback,mondays top tech news dont call comeback,Positive
2022-11-21 11:26:45,Robert Iger Returns as Disney CEO as Bob Chapek Is Ousted,robert iger returns disney ceo bob chapek ousted,Negative
2022-11-21 12:26:45,"GOP House Majority Could Shield Industries From New Taxes, Regulations",gop house majority could shield industries new taxes regulations,Positive
2022-11-21 12:59:11,"Nasdaq, S&P, Dow are mixed as yields ease and China COVID curbs hit sentiment",nasdaq sp dow mixed yields ease china covid curbs hit sentiment,Neutral
2022-11-21 13:23:25,Disney brings back Bob Iger as CEO in bid to boost growth,disney brings back bob iger ceo bid boost growth,Positive
2022-11-21 13:23:44,Streaming grows TV-usage lead even as Broadcast marks seasonal growth,streaming grows tvusage lead even broadcast marks seasonal growth,Positive
2022-11-21 13:26:26,Disney shares rise after Iger replaces Chapek as CEO,disney shares rise iger replaces chapek ceo,Positive
2022-11-21 14:15:30,Bob Iger named Disney CEO in shocking development,bob iger named disney ceo shocking development,Positive
2022-11-21 14:20:26,"Stocks making the biggest moves in the premarket: Walt Disney, Carvana, Coinbase and more",stocks making biggest moves premarket walt disney carvana coinbase,Positive
2022-11-21 14:23:05,"Disney stock rockets upon Bob Iger’s return, as ‘perhaps the best leader in media’ is back",disney stock rockets upon bob igers return perhaps best leader media back,Positive
2022-11-21 14:23:44,Bob Iger taking back CEO job at Disney; Chapek exits,bob iger taking back ceo job disney chapek exits,Negative
2022-11-21 15:01:48,Disney's Iger may have to cut costs as streaming loses money,disney iger may cut costs streaming loses money,Negative
2022-11-21 15:51:15,"Disney's stock soars to add more than 50 points to the Dow's price, leads S&P 500 gainers",disney stock soars add points dow price leads sp gainers,Positive
2022-11-21 16:15:03,Outgoing Disney CEO Bob Chapek Likely Leaves With at Least $23 Million,outgoing disney ceo bob chapek likely leaves least million,Negative
2022-11-21 16:31:06,Disney Shares Rally as Former CEO Robert Iger Returns,disney shares rally former ceo robert iger returns,Positive
2022-11-21 17:30:59,Disney board's decision to replace Bob Chapek with Bob Iger makes everyone look bad,disney board decision replace bob chapek bob iger makes everyone look bad,Negative
2022-11-21 18:40:27,Disney’s Robert Iger May Find Second Time Isn’t Quite the Charm,disneys robert iger may find second time isnt quite charm,Neutral
2022-11-21 19:35:22,"Stocks making the biggest moves midday: Disney, Carvana, Diamondback Energy and more",stocks making biggest moves midday disney carvana diamondback energy,Positive
2022-11-21 20:50:37,Dow's gain defies bearish breadth,dow gain defies bearish breadth,Neutral
