,DIS
2022-11-09 17:46:22,Disney: When To Buy The Magic Kingdom
2022-11-09 18:46:22,Disney CEO Chapek says virtual parks won't replace in-person experience as stock crashes
2022-11-09 18:48:04,Elon Musk took over a struggling business with Twitter and has quickly made it worse
2022-11-09 19:39:04,"Stocks making the biggest moves midday: Disney, Meta Platforms, Lucid Motors, Roblox and more"
2022-11-09 19:41:11,Disney's steep streaming costs push shares to 2-1/2-year low
2022-11-09 20:04:04,Stocks slip as control of Congress remains unclear
2022-11-09 20:04:11,"S&P, Dow, Nasdaq slump as post-election selloff picks up pace; inflation data in focus"
2022-11-09 21:43:27,"World stocks slip, await CPI, US midterms outcome"
2022-11-09 21:57:00,Gaming company Kabam lays off 7% of its workforce to better align with goals
2022-11-09 23:56:19,Communications Services Down After Disney Earnings -- Communications Services Roundup
2022-11-10 00:33:19,"Asian Stocks Fall, Crypto Bounces Before CPI: Markets Wrap"
2022-11-10 01:39:30,"Nets make Jacque Vaughn coach, decide against Udoka pursuit"
2022-11-10 02:34:57,People with disabilities rate the top 10 cities that are easiest for them to travel around
2022-11-10 05:29:53,Asian markets follow Wall Street lower ahead of U.S. inflation update
2022-11-10 18:04:00,Dempsey: ‘Disenchanted’ is an escape from dark-themed movies
2022-11-10 18:18:07,‘Dog whisperer’ Cesar Millan says a long walk is ‘the biggest birthday gift you can give to a dog’
2022-11-10 19:38:47,Tropical Storm Nicole topples beachfront homes into ocean
2022-11-10 19:39:33,South African pay TV Multichoice banks on World Cup to grow subscribers
2022-11-11 00:54:38,Stable Diffusion in your pocket? “Draw Things” brings AI images to iPhone
2022-11-11 01:10:21,What a Republican Congress means for the H-1B visa
2022-11-11 15:00:33,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc"""
2022-11-11 15:11:32,"Cool Cats Group Partners With Animoca Brands And Onefootball Labs To Launch ""Cool Cats Fc"""
2022-11-11 15:14:23,The Problem With Spinning Spacecraft
2022-11-11 17:36:16,Storm Nicole drenches Georgia and Carolinas after wreaking destruction in Florida
2022-11-11 17:39:52,Chris Rock is set to be the first to perform live on Netflix
2022-11-11 21:57:29,"'Black Panther' sequel vies for 2022's best opening, to relief of theaters"
2022-11-11 23:40:11,"Disney planning 'targeted' hiring freeze, some cuts - CNBC"
2022-11-11 23:42:29,"Disney plans targeted hiring freeze and job cuts, according to a memo from CEO Bob Chapek"
2022-11-12 00:31:57,"Disney plans to freeze hiring, cut some jobs -memo"
2022-11-12 00:34:11,S&P 500 rises ~6% to post best week since late June on massive inflation relief rally
2022-11-12 00:34:17,"Disney to announce layoffs, cost-cut measures: Wall Street Journal"
2022-11-12 00:39:35,"Disney Details Plans for Cost Cuts, Layoffs and Hiring Freeze in Memo"
2022-11-12 01:49:21,Studio Ghibli’s hand-drawn Star Wars animation hits Disney Plus tomorrow
2022-11-12 01:51:40,"Disney is preparing to cut jobs, according to leaked memo from CEO"
2022-11-12 10:55:59,"Coinbase, Meta, Disney: Stocks That Defined the Week"
2022-11-12 15:11:10,"Gift Guide: 23 Car Gifts & Gadgets for Mom, as Chosen by our Editors"
2022-11-12 18:47:35,Apple’s new entry-level iPad is on sale for the first time for $50 off
2022-11-13 00:03:53,"Disney plans to freeze hiring and cut jobs, memo shows"
2022-11-13 16:42:06,'Watcher' keeps Murphy and Netflix on top of streaming ratings
2022-11-13 18:31:32,"‘Black Panther: Wakanda Forever’ eyes $180 million opening weekend, highest November debut ever"
2022-11-13 19:34:20,‘Black Panther: Wakanda Forever’ notches record opening for November
2022-11-13 22:46:36,"‘Black Panther: Wakanda Forever’ earns $180 million, second-best debut of 2022"
2022-11-14 00:05:14,Pink Floyd Wanted $500 Million For Its Music. What Went Wrong?
2022-11-14 09:37:43,"‘Black Panther’ Sequel Earns $180 Million in Domestic Open, Bolstering Disney"
2022-11-14 10:43:45,Opinion: Life in zero-Covid China is becoming intolerable
2022-11-14 15:28:30,"AMC stock soars again after big 'Black Panther: Wakanda Forever' opening, but Cinemark and Imax shares fall"
2022-11-14 17:20:07,"New York City, Las Vegas are among the 10 most accessible cities in the world for people with disabilities"
2022-11-14 17:54:23,Hulu Live TV adds 14 channels including Hallmark and The Weather Channel
2022-11-14 18:20:58,Corporate America cuts thousands of jobs as recession looms
2022-11-14 18:46:14,Andor’s first two episodes will air on TV over Thanksgiving
2022-11-14 19:11:15,'Black Panther' sequel scores year's 2nd-best opening with $180M
2022-11-14 19:19:52,Disney+ has a new adorable short film for ‘The Mandalorian’ and ‘Spirited Away’ fans
2022-11-14 22:51:51,Moon Girl and Devil Dinosaur’s theme song has no business being this good
2022-11-15 10:26:55,Google Play finally adds UPI subscriptions in India
2022-11-15 12:20:46,China's COVID frustrations spark unrest in Guangzhou as cases rise
2022-11-15 12:23:12,Unrest in Guangzhou over COVID rules as cases rise
2022-11-15 16:23:26,The scary truth about AI copyright is nobody knows what will happen next
2022-11-15 17:44:21,Paramount Global shares jump after Warren Buffett's Berkshire Hathaway increases stake
2022-11-15 20:02:14,Epic strikes back at Apple’s iOS “security” defense in appeals court
2022-11-16 00:24:57,Disney World boosts prices as parks demand continues surge
2022-11-16 00:27:26,"Some GOP Governors, Donors Say Party Should Move Past Donald Trump"
2022-11-16 16:39:52,The Verge’s favorite holiday gifts under $50
2022-11-16 21:54:51,Disney Sets Higher Price for Magic Kingdom in First for Company
2022-11-17 09:53:40,A Key Amazon Segment Is Leveraging The Network Effect
2022-11-17 12:21:09,"Parents beware: Dangerous, recalled toys are still on sale"
2022-11-17 15:55:16,Gameloft sees initial success with expansion to PC/consoles
2022-11-17 16:23:26,"Roku lays off 200 US employees, citing economic conditions"
2022-11-17 17:23:42,"John Malone says he’s skeptical of ad-supported content as Netflix, Disney roll out ad tiers"
2022-11-17 17:44:48,Walmart and Target’s quarterly results lay bare the retailers’ stark differences
2022-11-18 07:34:26,"At Thanksgiving dinner, avoid politics — and discuss these 5 timely financial questions instead"
2022-11-18 12:47:28,The Week In Press Releases: 11 Stories You Need To See
2022-11-18 12:50:07,"Marvel didn’t recast Chadwick Boseman in ‘Wakanda Forever’ — and it was the right move, industry experts say"
2022-11-18 13:02:00,Mina Group Announces New Marketing Leadership
2022-11-18 13:58:00,This Week In Finance News: 11 Stories You Need To See
2022-11-18 20:25:39,Elon Musk’s $50 billion trial comes to an end today
2022-11-19 01:10:59,'Wakanda Forever' set to dominate movie weekend again
2022-11-19 15:30:37,It's Time to Make 3D TVs a Thing Again
2022-11-20 00:23:24,"Gopuff launches scheduled deliveries, gifting and in-store pickup"
2022-11-20 13:09:28,"DeSantis, Others Draw Distinctions With Trump in 2024 GOP Nomination Race"
2022-11-20 20:40:19,4 ways big brands with big awareness can close the attention gap
2022-11-21 05:24:12,"Bob Iger steps back in as Disney CEO, replacing Bob Chapek"
2022-11-21 10:23:15,Disney Shares Soar on Iger Return as CEO After Shock Ouster
2022-11-21 11:24:12,Monday’s top tech news: Don’t call it a comeback
2022-11-21 11:26:45,Robert Iger Returns as Disney CEO as Bob Chapek Is Ousted
2022-11-21 12:26:45,"GOP House Majority Could Shield Industries From New Taxes, Regulations"
2022-11-21 12:59:11,"Nasdaq, S&P, Dow are mixed as yields ease and China COVID curbs hit sentiment"
2022-11-21 13:23:25,Disney brings back Bob Iger as CEO in bid to boost growth
2022-11-21 13:23:44,Streaming grows TV-usage lead even as Broadcast marks seasonal growth
2022-11-21 13:26:26,Disney shares rise after Iger replaces Chapek as CEO
2022-11-21 14:15:30,Bob Iger named Disney CEO in shocking development
2022-11-21 14:20:26,"Stocks making the biggest moves in the premarket: Walt Disney, Carvana, Coinbase and more"
2022-11-21 14:23:05,"Disney stock rockets upon Bob Iger’s return, as ‘perhaps the best leader in media’ is back"
2022-11-21 14:23:44,Bob Iger taking back CEO job at Disney; Chapek exits
2022-11-21 15:01:48,Disney's Iger may have to cut costs as streaming loses money
2022-11-21 15:51:15,"Disney's stock soars to add more than 50 points to the Dow's price, leads S&P 500 gainers"
2022-11-21 16:15:03,Outgoing Disney CEO Bob Chapek Likely Leaves With at Least $23 Million
2022-11-21 16:31:06,Disney Shares Rally as Former CEO Robert Iger Returns
2022-11-21 17:30:59,Disney board's decision to replace Bob Chapek with Bob Iger makes everyone look bad
2022-11-21 18:40:27,Disney’s Robert Iger May Find Second Time Isn’t Quite the Charm
2022-11-21 19:35:22,"Stocks making the biggest moves midday: Disney, Carvana, Diamondback Energy and more"
2022-11-21 20:50:37,Dow's gain defies bearish breadth
2022-11-21 22:21:51,"'Black Panther' sequel rolls again, while 'She Said' flops"
2022-11-21 22:58:43,Iger to Receive $27 Million Yearly for Return as Disney CEO
2022-11-21 23:12:51,Why did Disney stock surge today? Return of the CEO
2022-11-21 23:38:50,Iger announces first big moves in new tenure as Disney CEO: Restructuring and departure of Chapek right hand Kareem Daniel
2022-11-22 00:13:49,Jim Cramer says he’s bullish on Disney after Iger’s return as CEO
2022-11-22 00:28:34,"Moving quickly, Iger launching Disney restructuring"
2022-11-22 00:43:56,Can Bob Iger fix Disney?
2022-11-22 00:44:06,Top Disney exec Kareem Daniel to leave as Bob Iger returns
2022-11-22 01:33:57,Disney and the Post-Pandemic Reckoning
2022-11-22 01:40:06,Here’s everything coming to Hulu in December 2022 — and what’s leaving
2022-11-22 01:45:41,Penguin Random House scraps US$2.2 billion deal to merge with Simon & Schuster
2022-11-22 04:31:46,"When Disney Decided to Dump its CEO, the Change Happened Fast"
2022-11-22 05:31:56,Bob Iger moves fast to dismantle Chapek’s reorganization of Disney
2022-11-22 12:19:48,"Walt Disney CFO, Others Brought Concerns to Board Over Bob Chapek"
2022-11-22 12:30:19,The Trade Desk Takes Market Share From Google And Meta
2022-11-22 14:51:42,'Boomerang CEOs' don't always work out; Disney hopes this one bucks trend
2022-11-22 14:51:48,Disney’s tale of two Bobs
2022-11-22 15:27:36,HyperloopTT to go public via SPAC led by former Disney execs
2022-11-22 15:49:48,Bob Iger: Here’s how much the CEO will make in his return to Disney
2022-11-22 15:59:21,NFT marketplace Magic Eden integrates with Polygon to grow blockchain gaming
2022-11-22 16:40:33,Robert Iger’s Return to Disney Has Many Fans Overjoyed
2022-11-22 17:39:19,Everyone thinks Apple’s negotiations with the NFL are dragging on
2022-11-22 19:19:40,DeSantis Won Over Florida. Now He Has the Rest of the US to Convince
2022-11-22 20:50:24,Shaquille O'Neal-backed SPAC Forest Road II to merge with HyperloopTT
2022-11-22 21:01:00,Disney is counting on Bob Iger to make hard decisions about its streaming and TV assets – or find someone who will
2022-11-22 21:51:10,Robert Iger Returns to Disney Facing Radically Different Streaming Landscape
2022-11-22 23:47:27,"Florida Legislature crowns new GOP leaders in House, Senate"
2022-11-22 23:49:39,Disney Needs ‘Chainsaw’ Bob Iger
2022-11-23 00:13:03,Here’s everything coming to Netflix in December 2022 — and what’s leaving
2022-11-23 00:17:06,HyperloopTT’s SPAC public debut may be going nowhere fast
2022-11-23 02:19:20,"Disney’s Robert Iger Loomed Over His Successor as CEO, Creating Tensions"
2022-11-23 04:19:20,Disney’s ‘Avatar: The Way of Water’ Cleared for December Release in China
2022-11-23 05:31:55,‘Avatar’ sequel needs $2 billion to break even. But are audiences still excited about 3D?
2022-11-23 05:36:24,Disney's 'Avatar: The Way of Water' gets coveted China release
2022-11-23 09:22:46,Andor’s Diego Luna Is as Excited for Season 2 as You Are
2022-11-23 14:04:40,Big Shareholder Signals Opposition to News Corp-Fox Combination
2022-11-23 18:22:37,Review: ‘Strange World’ explores big themes in bold colors
2022-11-23 18:42:28,The Guardians of the Galaxy Holiday Special turns Christmas into lore
2022-11-23 19:06:08,"Michael Bublé And Luisana Lopilato Back At ""Home"" At Walt Disney World Resort"
2022-11-23 19:36:28,"The best Black Friday streaming deals on Hulu, HBO Max, Paramount Plus, and more"
2022-11-23 20:24:27,The best Black Friday deals under $50
2022-11-23 20:57:37,Amazon plans to pour $1 billion annually on theater movies
2022-11-23 20:58:32,Disney CEO Bob Iger to hold town hall with employees on Monday
2022-11-23 20:59:28,Iger heading to Disney lot Monday for company town hall - CNBC
2022-11-23 23:53:12,The best Black Friday deals under $25
2022-11-24 07:12:46,Mainland China’s total daily Covid cases soar above Shanghai lockdown highs
2022-11-24 09:10:57,What is a chief metaverse officer and why are companies like Disney and P&G appointing one?
2022-11-24 09:14:11,Thanksgiving travel rush is back with some new habits
2022-11-24 15:42:56,Andor’s season finale solidifies it as one of Star Wars’ greatest stories
2022-11-24 16:15:30,"Disney looks to claim Thanksgiving box-office crown again with Marvel, 'Strange World'"
2022-11-24 19:52:14,Tokyo Disney drives traffic surge at nearby hotels
2022-11-25 06:38:12,The African Fashion Hub Punching Above Its Weight
2022-11-25 14:30:31,"11 of the best Black Friday TV deals, including $500 off Samsung’s ‘The Frame’ TV, $660 off an LG OLED TV, and more"
2022-11-25 14:31:02,Target Announces Hot Holiday Deals With Two-Day Cyber Monday Sales Event
2022-11-25 15:03:26,Bob Iger Is Back—and Disney Is Probably Better for It
2022-11-25 15:40:09,Midnight comes out of stealth with $7.5M in funding for a new game company
2022-11-25 15:41:23,The best Black Friday deals at Amazon
2022-11-25 16:52:42,Apple Buying Manchester United? More Like Chinese Art Marrying French Rap
2022-11-25 16:55:50,Shanghai Disneyland reopens after monthlong shutdown
2022-11-25 17:54:33,"35 absolute best Black Friday deals, including Samsung’s ‘The Frame’ TV at $500 off, the Dyson V8 vacuum at $219 off, Apple Airpods at $55 off, and much more"
2022-11-25 18:51:38,Get a year of Hulu’s ad-supported streaming for just $2 per month
2022-11-25 22:34:49,The Disney CFO Who Raised Concerns About Bob Chapek Has Respect on the Street
2022-11-25 23:45:10,Toy Makers Are Betting on Last-Minute Holiday Shopping to Save the Year
2022-11-26 02:13:02,The best Black Friday deals at Amazon
2022-11-26 06:17:21,These Children Are Making Millions on YouTube
2022-11-26 08:14:01,Musk says he will support DeSantis if Florida governor runs for president
2022-11-26 17:35:30,Black Friday online sales top $9 billion in new record
2022-11-26 21:53:19,The best Black Friday deals under $50
2022-11-27 15:59:11,Top Wall Street analysts say buy these stocks during a market downturn
2022-11-27 17:10:31,The best early Cyber Monday deals you can get at Target
2022-11-27 19:03:21,Feast and famine for Disney at Thanksgiving box office
2022-11-27 20:20:38,Disney is the biggest winner — and loser — at the Thanksgiving box office
2022-11-27 22:52:30,Five Questions For Bob Iger and the Disney Board
2022-11-27 22:55:31,Disney’s Robert Iger Faces Troubled Animation Market as ‘Strange World’ Bombs
2022-11-27 23:22:34,Disney’s ‘Strange World’ turns out to be a Thanksgiving turkey at box office
2022-11-28 01:43:33,Adidas execs worried about risk of exposure to Kanye West years ago
2022-11-28 02:47:43,Attorney general of Bahamas deflects blame for FTX’s collapse
2022-11-28 05:03:25,CEO of multimillion-dollar company Casetify shares his No. 1 ‘super underrated’ business tip
2022-11-28 11:41:49,"35 of the best Cyber Monday deals, from Apple Airpods to a Ninja air fryer to $500 off Samsung’s ‘The Frame’ TV"
2022-11-28 18:17:37,"‘Knives Out’ Was a Missed Opportunity for Netflix, Analyst Says"
2022-11-28 18:28:57,Apple: No Margin Of Safety
2022-11-28 18:49:17,Disney's Iger: Hiring freeze stays for now; Apple merger talk 'speculation' (updated)
2022-11-28 18:51:10,"Disney hiring freeze will stay in place, CEO Bob Iger tells employees"
2022-11-28 19:46:24,Disney CEO Robert Iger vows to focus on creativity at town hall
2022-11-28 21:03:44,The V Foundation Announces 16th Annual V Week For Cancer Research With Founding Partner Espn
2022-11-28 22:08:55,Google increasing heat on Apple over NFL Sunday Ticket package as talks linger: report
2022-11-28 22:13:42,Bob Iger’s fast start back as Disney’s CEO is welcome news to shareholders like us
2022-11-28 22:16:53,"Disney CEO Robert Iger at Town Hall Vows to Focus on Creativity, Streaming Profitability"
2022-11-28 23:31:02,Disney CEO Iger makes profitable streaming a priority
2022-11-29 00:08:40,"Disney’s Theme Parks Are Sore Spot for Investors, Too"
2022-11-29 00:36:52,Disney logs a win - and a bomb - at Thanksgiving box office
2022-11-29 01:51:36,Cyber Monday shopping expected to set record but annual growth has slowed | Adobe
2022-11-29 04:36:40,Hoping to beat the tourist crowd on your trip to Japan? That ship has sailed
2022-11-29 05:36:40,China’s Covid infections drop for the first time in more than a week
2022-11-29 09:12:35,"As China grapples with rare protests, Shanghai Disneyland shuts over Covid curbs once again"
2022-11-29 14:53:48,The Treasured Poem Twas The Night Before Christmas Turns 200 On Christmas Eve 2022
2022-11-29 14:54:48,Mission Rock Residential Lands Management Contract For Orlando Apartment Community
2022-11-29 15:17:09,"Cyber Monday online sales hit a record $11.3B, driven by demand, not just inflation, says Adobe"
2022-11-29 16:12:24,Andrew Ng’s Netail offers AI for retailers to ease change from physical to digital
2022-11-29 17:29:13,Bilibili surges as Q3 tops expectations; Chinese tech rises on refined COVID-19 measures
2022-11-29 17:30:13,Gray Television renews its ABC affiliations through 2024
2022-11-29 19:57:24,AMC Networks to Lay Off 20% of U.S. Workers as CEO Christina Spade Exits
2022-11-29 20:17:30,"‘Glass Onion’ could have made $200 million, but Netflix only let it play in theaters for a week"
2022-11-29 22:20:44,"This is why streaming Netflix, Disney Plus, and HBO Max keeps getting more expensive"
2022-11-29 23:59:51,Disney warns restructuring could result in impairment charges
2022-11-30 04:39:55,Deep cuts at AMC Networks signals turbulent time for media industry
2022-11-30 06:46:16,Disney coughs up $900M to acquire MLB’s remaining stake in BAMTech streaming company
2022-11-30 11:20:53,2022's Best Cruise Lines Of The Year Named By Cruise Critic
2022-11-30 12:17:15,The Hotel Inside the Bass Pro Shops Inside the Pyramid
2022-11-30 12:30:28,Disney said it may take impairment charges once CEO Bob Iger's  planned organizational changes are in place
2022-11-30 14:02:34,"Willow is back, and he brought an incredibly fun show with him"
2022-11-30 16:10:28,"S&P, Dow, and Nasdaq trade mixed with Fed's Powell set to speak"
2022-11-30 19:08:57,CNN Layoffs Are Under Way
2022-11-30 20:24:17,"NPR Hiring Freeze, CNN Cuts Are Latest Signs of Media Crunch"
2022-11-30 21:23:30,ESPN chief: Live sports still a draw; no sportsbook deal imminent
2022-11-30 22:07:46,"Elon Musk Is the ‘Bravest’ Person on Earth, Netflix CEO Says"
2022-11-30 22:34:47,Elon Musk is dragging Apple into the culture wars
